                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.42158,                0.41235,                0.64965,                0.91855,                0.86811,                0.78598,                0.88698,                0.84893,                0.86783,                0.78569,                0.88685,                0.86517,                 0.2661,                0.27536,                0.49012,                0.66829,               0.008317,               0.008317,               0.008317
                     54,                0.42338,                0.40529,                0.63817,                0.91963,                 0.8292,                0.79562,                0.87576,                0.83669,                 0.8292,                0.79562,                0.87579,                0.85224,                0.27202,                0.27569,                0.49582,                0.67494,               0.008284,               0.008284,               0.008284
                     55,                0.41218,                0.39542,                0.62885,                0.91228,                0.87303,                0.79356,                 0.8845,                0.84932,                0.87303,                0.79356,                0.88339,                0.86438,                0.25834,                 0.2734,                0.47536,                 0.6611,               0.008251,               0.008251,               0.008251
                     56,                0.41979,                0.40464,                0.63228,                0.91554,                 0.8288,                 0.7579,                 0.8533,                0.81538,                0.82388,                0.76123,                0.85164,                0.83249,                0.26277,                0.26885,                 0.5407,                 0.6637,               0.008218,               0.008218,               0.008218
                     57,                0.41532,                0.39986,                0.62589,                0.91253,                0.87313,                0.79185,                  0.892,                0.85286,                0.87313,                0.79185,                0.89179,                0.87061,                0.26609,                0.28165,                0.49951,                0.66885,               0.008185,               0.008185,               0.008185
                     58,                0.41527,                0.39482,                0.61264,                0.91667,                0.82807,                0.86092,                0.90521,                0.87043,                0.82783,                0.86063,                0.90435,                0.88628,                0.26029,                0.27061,                0.46719,                0.66772,               0.008152,               0.008152,               0.008152
                     59,                0.41374,                0.39233,                0.61132,                0.91402,                0.85537,                0.79687,                0.88604,                0.85422,                0.85537,                0.79687,                0.88593,                0.86635,                0.24949,                0.26475,                0.50701,                0.65634,               0.008119,               0.008119,               0.008119
                     60,                0.41842,                0.39199,                0.61287,                 0.9163,                0.87464,                0.82599,                0.89108,                0.85566,                0.87464,                0.82599,                0.89078,                0.87198,                0.25967,                0.27004,                0.48602,                 0.6668,               0.008086,               0.008086,               0.008086
                     61,                0.41552,                0.40338,                0.60268,                0.91402,                0.87963,                0.84172,                0.91991,                0.88411,                0.88061,                 0.8413,                0.91973,                0.89827,                0.25913,                0.26252,                0.43518,                0.66518,               0.008053,               0.008053,               0.008053
                     62,                0.40765,                0.39065,                0.59566,                 0.9111,                0.87884,                0.82193,                0.90513,                0.86847,                0.87884,                0.82193,                0.90449,                0.88264,                0.25862,                0.26648,                0.43125,                0.66391,                0.00802,                0.00802,                0.00802
                     63,                0.41421,                0.40025,                0.60593,                0.91256,                0.85049,                0.83775,                0.90017,                0.86276,                0.85023,                0.83746,                0.89899,                0.87698,                0.26517,                0.26652,                0.46182,                0.67127,               0.007987,               0.007987,               0.007987
                     64,                 0.4121,                0.39942,                0.60562,                0.91296,                0.88303,                0.80606,                0.90379,                 0.8676,                0.88278,                0.80576,                0.90319,                0.88452,                0.26285,                0.27254,                0.45608,                0.66667,               0.007954,               0.007954,               0.007954
                     65,                0.41149,                0.39011,                0.59529,                0.91271,                0.84253,                0.84613,                0.91356,                0.87621,                0.84224,                0.84584,                0.91285,                0.89318,                 0.2619,                0.27154,                 0.4528,                0.66523,               0.007921,               0.007921,               0.007921
                     66,                0.41432,                0.38893,                0.59284,                0.91371,                0.86757,                0.84488,                0.91691,                0.87994,                0.86757,                0.84488,                0.91666,                0.89634,                0.25093,                0.26265,                0.43502,                0.65955,               0.007888,               0.007888,               0.007888
                     67,                0.40886,                 0.3941,                 0.5871,                0.91204,                0.81839,                0.84258,                0.89848,                0.86006,                0.81815,                0.84229,                0.89789,                 0.8744,                0.25538,                0.26791,                0.48154,                0.66271,               0.007855,               0.007855,               0.007855
                     68,                0.41094,                0.38913,                0.57958,                0.91005,                0.88505,                0.82807,                0.91541,                0.87898,                0.88505,                0.82807,                0.91524,                0.89261,                0.25865,                0.26345,                0.44581,                0.66511,               0.007822,               0.007822,               0.007822
                     69,                0.40975,                0.39579,                0.58253,                0.91144,                0.88688,                0.82792,                0.91237,                0.87627,                0.88688,                0.82792,                0.91217,                0.89125,                0.25867,                0.25959,                0.44673,                 0.6633,               0.007789,               0.007789,               0.007789
                     70,                0.40864,                0.38732,                0.58277,                0.91236,                0.84245,                0.85817,                0.90609,                0.87196,                 0.8422,                0.85685,                0.90531,                0.88472,                0.25542,                0.26608,                0.43433,                 0.6644,               0.007756,               0.007756,               0.007756
                     71,                0.40796,                0.38987,                0.56894,                0.91094,                 0.9118,                0.82621,                0.90742,                0.87043,                0.91071,                0.82574,                0.90628,                0.88735,                0.25709,                0.25656,                0.42939,                0.66633,               0.007723,               0.007723,               0.007723
                     72,                0.40841,                0.38825,                0.56768,                0.91293,                0.84862,                0.84264,                0.90983,                0.87546,                0.84837,                0.84235,                0.90898,                0.88934,                0.26156,                0.26907,                0.45214,                0.66566,                0.00769,                0.00769,                0.00769
                     73,                0.40773,                0.38921,                0.56739,                0.91059,                0.90623,                0.82332,                0.92034,                  0.886,                0.90669,                0.82305,                0.91966,                0.89953,                0.25917,                0.25789,                0.44208,                0.66459,               0.007657,               0.007657,               0.007657
                     74,                0.40385,                 0.3839,                 0.5694,                0.90748,                0.91789,                0.85233,                0.93088,                0.89524,                0.91789,                0.85233,                0.93051,                0.91088,                0.26588,                0.25976,                0.42382,                0.66993,               0.007624,               0.007624,               0.007624
                     75,                0.40688,                0.39219,                0.56523,                0.91201,                0.87527,                0.85841,                0.92306,                0.88805,                0.87527,                0.85841,                 0.9221,                0.90261,                0.25941,                0.25937,                0.44001,                0.66469,               0.007591,               0.007591,               0.007591
                     76,                0.40668,                0.39461,                 0.5563,                0.90845,                0.87329,                0.87113,                 0.9205,                0.88939,                0.87011,                0.87206,                0.91927,                 0.9002,                0.25345,                 0.2594,                0.41903,                0.66107,               0.007558,               0.007558,               0.007558
