                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.20203,                0.21121,                 1.1935,                 1.1455,                0.84491,                0.79131,                0.88431,                0.83044,                0.84491,                0.79131,                0.88364,                0.85721,                 0.1311,                0.12786,                0.90962,                 0.8546,              0.0088458,              0.0088458,              0.0088458
                     38,                0.20301,                0.21537,                 1.1965,                 1.1476,                0.82791,                0.79427,                0.88974,                0.83952,                0.82742,                0.79398,                0.88877,                0.86567,                 0.1279,                0.12825,                0.88426,                0.83954,              0.0088129,              0.0088129,              0.0088129
                     39,                 0.2034,                0.21529,                 1.1926,                 1.1489,                0.86763,                0.83004,                0.90841,                0.86383,                0.86763,                0.83004,                0.90849,                0.88536,                 0.1213,                0.12517,                0.82551,                0.82941,              0.0087799,              0.0087799,              0.0087799
                     40,                0.19924,                 0.2078,                 1.1609,                 1.1405,                0.85205,                0.84476,                0.90419,                0.86101,                0.85205,                0.84476,                0.90356,                0.88353,                0.12028,                0.12507,                0.77413,                0.82662,              0.0087469,              0.0087469,              0.0087469
                     41,                0.19933,                0.21115,                 1.1736,                 1.1442,                 0.8616,                0.82441,                0.90865,                0.86004,                 0.8616,                0.82441,                0.90688,                0.88567,                0.12555,                0.12384,                0.83086,                 0.8409,              0.0087139,              0.0087139,              0.0087139
                     42,                0.20131,                 0.2109,                 1.1503,                 1.1494,                0.86498,                0.84177,                0.91203,                0.86294,                0.86498,                0.84177,                0.91078,                0.89032,                0.12617,                0.12569,                 0.7799,                0.84411,              0.0086809,              0.0086809,              0.0086809
                     43,                0.20076,                0.20944,                 1.1517,                 1.1459,                0.87813,                0.84907,                0.91154,                0.85699,                0.87924,                0.85024,                0.91124,                0.88645,                 0.1283,                0.12218,                0.78821,                0.84609,               0.008648,               0.008648,               0.008648
                     44,                0.19949,                0.21233,                 1.1509,                 1.1419,                0.87009,                0.81844,                0.91356,                0.86658,                0.87009,                0.81844,                0.91267,                0.89243,                0.12109,                0.12682,                0.81014,                0.82397,               0.008615,               0.008615,               0.008615
                     45,                 0.1995,                0.21433,                 1.1276,                 1.1432,                0.86775,                 0.8495,                0.91098,                0.86249,                0.86775,                 0.8495,                0.90966,                0.88579,                0.12714,                0.12897,                0.80273,                0.84122,               0.008582,               0.008582,               0.008582
                     46,                0.20194,                0.20733,                 1.1423,                 1.1466,                0.89397,                 0.8426,                0.92213,                0.87846,                0.89397,                 0.8426,                0.92146,                0.89931,                0.12512,                 0.1252,                0.77017,                0.83179,               0.008549,               0.008549,               0.008549
                     47,                0.20139,                 0.2081,                  1.115,                 1.1454,                0.86082,                0.86692,                0.92375,                0.87126,                0.86082,                0.86692,                0.92408,                0.89922,                0.13175,                0.12408,                0.77704,                0.84834,              0.0085161,              0.0085161,              0.0085161
                     48,                 0.2006,                0.21099,                 1.1262,                 1.1424,                0.85745,                0.86007,                0.92049,                 0.8684,                0.85745,                0.86007,                0.91964,                0.89406,                0.12912,                0.12366,                0.78568,                0.84147,              0.0084831,              0.0084831,              0.0084831
                     49,                  0.199,                0.21521,                 1.0988,                 1.1392,                0.87494,                0.85536,                0.92117,                 0.8703,                0.87384,                0.85445,                0.92011,                0.89546,                0.12174,                0.12604,                0.74486,                 0.8225,              0.0084501,              0.0084501,              0.0084501
                     50,                0.19867,                0.20762,                 1.0976,                 1.1411,                0.87028,                0.82738,                0.91116,                0.86386,                0.87028,                0.82738,                0.91116,                0.88391,                0.12236,                0.12654,                0.79879,                0.82674,              0.0084171,              0.0084171,              0.0084171
                     51,                0.19777,                0.20623,                 1.0978,                 1.1385,                0.86731,                0.83551,                 0.9144,                0.86933,                0.86731,                0.83551,                0.91307,                0.89235,                0.12254,                0.12738,                0.79248,                0.83471,              0.0083842,              0.0083842,              0.0083842
                     52,                0.19724,                0.20922,                 1.0977,                 1.1408,                0.85897,                0.86201,                0.92371,                0.87547,                0.85897,                0.86201,                  0.923,                0.90092,                0.12289,                 0.1239,                0.74006,                0.83596,              0.0083512,              0.0083512,              0.0083512
                     53,                0.19582,                0.20475,                 1.0813,                 1.1395,                0.89986,                0.86233,                0.92998,                0.89046,                0.89986,                0.86233,                0.92958,                0.90803,                0.11855,                0.12295,                0.72399,                 0.8254,              0.0083182,              0.0083182,              0.0083182
                     54,                 0.1974,                0.20382,                 1.0766,                 1.1389,                0.88614,                0.83621,                0.92671,                0.88053,                0.88614,                0.83621,                0.92581,                0.90309,                0.12393,                0.12468,                0.76112,                0.82772,              0.0082852,              0.0082852,              0.0082852
                     55,                0.19603,                0.21532,                 1.0835,                 1.1376,                0.88807,                0.87878,                0.93162,                0.89117,                0.88807,                0.87878,                0.93073,                 0.9071,                0.11728,                 0.1243,                0.70502,                0.82003,              0.0082523,              0.0082523,              0.0082523
                     56,                0.19566,                0.20524,                 1.0391,                 1.1392,                0.89278,                0.86666,                0.93141,                0.88496,                0.89278,                0.86666,                0.93133,                0.90866,                0.12929,                 0.1253,                0.70535,                0.84556,              0.0082193,              0.0082193,              0.0082193
                     57,                 0.1953,                0.20653,                 1.0352,                 1.1399,                0.88202,                0.84748,                0.92308,                0.87882,                0.88207,                0.84959,                0.92319,                0.90015,                0.12691,                0.12692,                0.73322,                0.84423,              0.0081863,              0.0081863,              0.0081863
                     58,                0.19587,                0.20476,                  1.076,                 1.1391,                0.88111,                0.84651,                0.91963,                0.88529,                0.88111,                0.84651,                0.91862,                0.89849,                0.11349,                0.12626,                0.71943,                0.81288,              0.0081533,              0.0081533,              0.0081533
                     59,                0.19709,                0.21305,                 1.0532,                 1.1373,                0.88488,                0.83573,                0.92277,                0.87854,                0.88791,                0.83124,                0.92135,                0.89838,                0.12372,                0.12596,                0.72227,                0.83901,              0.0081203,              0.0081203,              0.0081203
                     60,                0.19651,                0.20086,                 1.0368,                  1.139,                0.85542,                0.86363,                  0.924,                0.88629,                0.85542,                0.86363,                0.92341,                0.90112,                0.11858,                0.12282,                0.70863,                0.82614,              0.0080874,              0.0080874,              0.0080874
                     61,                0.19593,                0.20659,                 1.0237,                 1.1373,                0.89544,                0.86183,                0.93763,                0.89443,                0.89544,                0.86183,                0.93689,                0.91301,                0.11696,                0.12249,                0.67442,                 0.8302,              0.0080544,              0.0080544,              0.0080544
                     62,                0.19825,                0.20917,                 1.0617,                 1.1419,                0.90527,                0.84754,                0.93347,                0.89216,                0.90527,                0.84754,                0.93241,                0.91054,                0.11722,                0.12408,                0.69836,                0.82573,              0.0080214,              0.0080214,              0.0080214
                     63,                0.19859,                0.21019,                  1.041,                 1.1401,                0.90017,                0.87411,                 0.9401,                0.89749,                0.90301,                0.87066,                0.93796,                0.91599,                0.12211,                0.12592,                0.66567,                0.83312,              0.0079884,              0.0079884,              0.0079884
                     64,                0.19437,                0.20295,                 1.0156,                  1.135,                0.87383,                0.88965,                 0.9323,                0.89269,                0.87383,                0.88965,                0.93239,                0.91144,                0.11341,                0.12514,                0.66175,                0.81271,              0.0079555,              0.0079555,              0.0079555
